"distance","depth","latitude","longitude","available","Seabird_temperature","Spec.Cond","DO","DOsat","total","BAT","Zdens_All","Zug_All","Zdens_one","Zdens_two","Zdens_three","Zdens_four","Zdens_five","Zdens_six","Zdens_seven"
4.4,1.25,43.9206666666667,-82.4941666666667,TRUE,12.8422672270831,153.341771246945,12.5124693692891,118.378772676608,1.27840746250307,0.109937590370778,94.4556049014755,228.607912127682,34.0285914946062,33.9594545374983,10.8883466063094,5.26018091353786,8.11655360867672,0.747760996669305,0.0115633449724254
4.6,1.25,43.9208333333333,-82.4916300207407,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.8,1.25,43.9210935954083,-82.4891666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1.25,43.9213333333333,-82.4866922559297,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2,1.25,43.9216666666667,-82.4842810644942,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4,1.25,43.9218333333333,-82.4818215868597,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.6,1.25,43.9221666666667,-82.4793333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.8,1.25,43.9223333333333,-82.4768333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1.25,43.9226666666667,-82.4744438875871,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2,1.25,43.9228333333333,-82.4719284327915,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.4,1.25,43.9231666666667,-82.4695,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.6,1.25,43.9235,-82.467,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.8,1.25,43.9236666666667,-82.4645,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1.25,43.924,-82.4621251579209,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.2,1.25,43.9241666666667,-82.459577971434,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.4,1.25,43.9245,-82.4571666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,1.25,43.9246666666667,-82.4546666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.8,1.25,43.925,-82.4521952536368,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1.25,43.9253333333333,-82.4497955051407,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2,1.25,43.9255,-82.4472821553987,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.4,1.25,43.9258333333333,-82.4448333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.5,43.9035,-82.535,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,1.5,43.9052301838024,-82.5343333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,1.5,43.9069355183528,-82.5335644816472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,1.5,43.9086642663644,-82.5328333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,1.5,43.9104224865401,-82.5323333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.5,43.9121615106697,-82.5316666666667,TRUE,13.7523830621325,196.614178715055,12.1259123699705,117.069303223631,2.58600796153144,0.136062696930941,118.625070695851,347.511179365768,43.5274405767755,44.3520585768923,15.2561129656038,6.2552326173903,9.94847949525158,1.44787078973137,0.208251840653253
1.2,1.5,43.9139188470495,-82.5311666666667,TRUE,13.7054948628234,188.176694002985,12.1504959351438,117.166486546311,2.76327071285004,0.13565107999076,115.524211593046,342.174949643472,42.6680723686314,43.0513169996173,14.8078532889836,6.07178411125662,9.91855492071716,1.44736059864129,0.179524785401692
1.4,1.5,43.9156123658649,-82.5303333333333,TRUE,13.6513601771213,177.065099756558,12.1791479075136,117.248535249136,3.46492574104318,0.134937227655777,113.640056570369,335.883260905646,41.6553186739508,41.6426844811596,14.2911265006398,5.93007114030716,9.87796298181043,1.49208630915284,0.154440067577938
1.6,1.5,43.9168333333333,-82.5285,TRUE,13.6030820938408,163.083403719042,12.2051823689574,117.354891844176,4.11710101016349,0.133901023409334,112.09553580451,330.606304210654,40.5989279498572,40.4983245767457,13.770890833838,5.73435388541286,9.92564627817756,1.48070445749083,0.12954738601328
1.8,1.5,43.9173333333333,-82.5261642883863,TRUE,13.5576607138844,149.866447036001,12.2300517538033,117.527398842264,4.10358098241593,0.132478584959545,111.672064029819,326.733285169571,39.793664688466,39.9633874240679,13.6820134804905,5.67334009790147,9.96107284437757,1.44664449747421,0.109150830747418
2,1.5,43.9176666666667,-82.5237124015253,TRUE,13.5198064923368,143.672123867,12.2511947923144,117.673219869385,3.42657795044712,0.131443063394218,111.301769967972,325.027695895402,39.2047284513085,39.7677866378172,13.8706350323583,5.96812133189068,9.97552192391619,1.40330372439908,0.0986415003801915
2.2,1.5,43.9178333333333,-82.5211666666667,TRUE,13.4937453460558,145.530454194075,12.2671062949444,117.740579908227,3.35677695644104,0.131182269544387,108.612532824452,322.140877697,38.6849930100164,39.3881315504393,13.8697538210576,6.20806010737237,9.937372390793,1.34600452799305,0.0954284607678576
2.4,1.5,43.9181666666667,-82.5188333333333,TRUE,13.4750163005476,157.074536062333,12.2793496219472,117.804116487356,3.40970643754358,0.130496925837242,107.811003668832,317.411514475635,38.3266307373311,39.49550945097,13.533982232396,6.09123680890379,9.78379500601059,1.28062338862575,0.0909443062502689
2.6,1.5,43.9183333333333,-82.5162233341405,TRUE,13.4560673987552,168.702951013199,12.2903919092744,117.858963845894,3.11340286752304,0.129428933357024,107.758137143805,309.045491758945,37.9755476877893,39.0722687698475,13.2483343506547,5.95994719246011,9.56749828910878,1.26797093925689,0.0877820606640799
2.8,1.5,43.9186666666667,-82.5138333333333,TRUE,13.4056869933397,178.14933851844,12.3122249924851,117.897045953893,2.79905683167011,0.128069466322038,105.051240083817,298.899196017448,37.1589331257265,38.2055467052671,13.0773533936172,6.00279205064992,9.43190644572817,1.20218825571766,0.0863906414954231
3,1.5,43.9188333333333,-82.5113333333333,TRUE,13.3626284299768,185.203362231693,12.3298839768406,117.93253056901,2.53108264484372,0.126417332665193,104.4614468146,284.537055870585,36.2654299489256,37.2000530362077,12.8016095161966,5.75103368853516,9.19276119041459,1.10638249276531,0.0845638144248798
3.2,1.5,43.9191666666667,-82.5089510413049,TRUE,13.3107041800451,190.91039475308,12.3488012639693,117.975916356558,2.336937157664,0.12452417998571,103.191207468076,273.425151007415,35.6549343685303,36.5136876429807,12.4007676819129,5.36990020939071,8.91998252988147,1.02154337288392,0.0831620934365108
